ID	latitude	longitude	date	Source
108	35.176195	-119.522824	10/23/18	JT_CA33
109	35.176195	-119.522824	10/23/18	JT_CA33
110	35.176195	-119.522824	10/23/18	JT_CA33
111	35.176195	-119.522824	10/23/18	JT_CA33
112	35.176195	-119.522824	10/23/18	JT_CA33
113	35.176195	-119.522824	10/23/18	JT_CA33
114	35.176195	-119.522824	10/23/18	JT_CA33
115	35.176195	-119.522824	10/23/18	JT_CA33
116	35.339717	-119.630833	11/8/17	JT_CA33
117	35.339717	-119.630833	11/8/17	JT_CA33
118	35.339717	-119.630833	11/8/17	JT_CA33
119	35.339717	-119.630833	11/8/17	JT_CA33
120	35.339717	-119.630833	11/8/17	JT_CA33
121	35.339717	-119.630833	11/8/17	JT_CA33
122	35.339717	-119.630833	11/8/17	JT_CA33
123	35.339717	-119.630833	11/8/17	JT_CA33
124	35.339717	-119.630833	11/8/17	JT_CA33
125	35.339717	-119.630833	11/8/17	JT_CA33
126	35.339717	-119.630833	11/8/17	JT_CA33
127	35.339717	-119.630833	11/8/17	JT_CA33
128	35.339717	-119.630833	11/8/17	JT_CA33
129	35.339717	-119.630833	11/8/17	JT_CA33
130	35.339717	-119.630833	11/8/17	JT_CA33
131	35.339717	-119.630833	11/8/17	JT_CA33
132	35.339717	-119.630833	11/8/17	JT_CA33
133	35.339717	-119.630833	11/8/17	JT_CA33
134	35.339717	-119.630833	11/8/17	JT_CA33
135	35.339717	-119.630833	11/8/17	JT_CA33
136	35.339717	-119.630833	11/8/17	JT_CA33
137	35.339717	-119.630833	11/8/17	JT_CA33
138	35.339717	-119.630833	11/8/17	JT_CA33
139	35.339717	-119.630833	11/8/17	JT_CA33
140	35.339717	-119.630833	11/8/17	JT_CA33
141	35.339717	-119.630833	11/8/17	JT_CA33
142	35.339717	-119.630833	11/8/17	JT_CA33
143	35.339717	-119.630833	11/8/17	JT_CA33
144	35.339717	-119.630833	11/8/17	JT_CA33
145	35.339717	-119.630833	11/8/17	JT_CA33
146	35.339717	-119.630833	11/8/17	JT_CA33
147	35.339717	-119.630833	11/8/17	JT_CA33
148	35.339717	-119.630833	11/8/17	JT_CA33
149	35.339717	-119.630833	11/8/17	JT_CA33
150	35.339717	-119.630833	11/8/17	JT_CA33
151	35.339717	-119.630833	11/8/17	JT_CA33
152	35.339717	-119.630833	11/8/17	JT_CA33
153	35.339717	-119.630833	11/8/17	JT_CA33
154	35.339717	-119.630833	11/8/17	JT_CA33
155	35.339717	-119.630833	11/8/17	JT_CA33
156	35.339717	-119.630833	11/8/17	JT_CA33
157	35.339717	-119.630833	11/8/17	JT_CA33
158	35.339717	-119.630833	11/8/17	JT_CA33
159	35.339717	-119.630833	11/8/17	JT_CA33
160	35.339717	-119.630833	11/8/17	JT_CA33
161	35.339717	-119.630833	11/8/17	JT_CA33
162	35.339717	-119.630833	11/8/17	JT_CA33
163	35.339717	-119.630833	11/8/17	JT_CA33
164	35.339717	-119.630833	11/8/17	JT_CA33
165	35.339717	-119.630833	11/8/17	JT_CA33
166	35.339717	-119.630833	11/8/17	JT_CA33
167	35.339717	-119.630833	12/14/17	JT_CA33
168	35.339717	-119.630833	12/14/17	JT_CA33
169	35.339717	-119.630833	12/14/17	JT_CA33
170	35.339717	-119.630833	12/14/17	JT_CA33
171	35.339717	-119.630833	12/14/17	JT_CA33
172	35.339717	-119.630833	12/14/17	JT_CA33
173	35.339717	-119.630833	12/14/17	JT_CA33
174	35.339717	-119.630833	12/14/17	JT_CA33
175	35.339717	-119.630833	12/14/17	JT_CA33
176	35.339717	-119.630833	12/14/17	JT_CA33
177	35.339717	-119.630833	12/14/17	JT_CA33
178	35.339717	-119.630833	12/14/17	JT_CA33
179	35.339717	-119.630833	12/14/17	JT_CA33
180	35.339717	-119.630833	12/14/17	JT_CA33
181	35.339717	-119.630833	12/14/17	JT_CA33
182	35.339717	-119.630833	12/14/17	JT_CA33
183	35.339717	-119.630833	1/18/18	JT_CA33
184	35.339717	-119.630833	1/18/18	JT_CA33
185	35.339717	-119.630833	1/18/18	JT_CA33
186	35.339717	-119.630833	1/18/18	JT_CA33
187	35.339717	-119.630833	1/18/18	JT_CA33
188	35.339717	-119.630833	1/18/18	JT_CA33
189	35.339717	-119.630833	1/18/18	JT_CA33
190	35.339717	-119.630833	1/18/18	JT_CA33
191	35.339717	-119.630833	1/18/18	JT_CA33
192	35.339717	-119.630833	1/18/18	JT_CA33
193	35.339717	-119.630833	1/18/18	JT_CA33
194	35.339717	-119.630833	1/18/18	JT_CA33
195	35.339717	-119.630833	1/18/18	JT_CA33
196	35.339717	-119.630833	1/18/18	JT_CA33
197	35.339717	-119.630833	1/18/18	JT_CA33
198	35.339717	-119.630833	1/18/18	JT_CA33
199	35.339717	-119.630833	1/18/18	JT_CA33
200	35.339717	-119.630833	2/15/18	JT_CA33
201	35.339717	-119.630833	2/15/18	JT_CA33
202	35.339717	-119.630833	2/15/18	JT_CA33
203	35.339717	-119.630833	2/15/18	JT_CA33
204	35.339717	-119.630833	2/15/18	JT_CA33
205	35.339717	-119.630833	2/15/18	JT_CA33
206	35.339717	-119.630833	2/15/18	JT_CA33
207	35.339717	-119.630833	2/15/18	JT_CA33
208	35.339717	-119.630833	2/15/18	JT_CA33
209	35.339717	-119.630833	2/15/18	JT_CA33
210	35.339717	-119.630833	2/15/18	JT_CA33
211	35.339717	-119.630833	2/15/18	JT_CA33
212	35.339717	-119.630833	2/15/18	JT_CA33
213	35.339717	-119.630833	2/15/18	JT_CA33
214	35.339717	-119.630833	2/15/18	JT_CA33
215	35.339717	-119.630833	2/15/18	JT_CA33
216	35.339717	-119.630833	2/15/18	JT_CA33
217	35.339717	-119.630833	2/15/18	JT_CA33
218	35.339717	-119.630833	2/15/18	JT_CA33
219	35.339717	-119.630833	2/15/18	JT_CA33
220	35.339717	-119.630833	3/17/18	JT_CA33
221	35.339717	-119.630833	3/17/18	JT_CA33
222	35.339717	-119.630833	3/17/18	JT_CA33
223	35.339717	-119.630833	3/17/18	JT_CA33
224	35.339717	-119.630833	3/17/18	JT_CA33
225	35.339717	-119.630833	3/17/18	JT_CA33
226	35.339717	-119.630833	3/17/18	JT_CA33
227	35.339717	-119.630833	3/17/18	JT_CA33
228	35.339717	-119.630833	3/17/18	JT_CA33
229	35.339717	-119.630833	3/17/18	JT_CA33
230	35.339717	-119.630833	3/17/18	JT_CA33
231	35.339717	-119.630833	3/17/18	JT_CA33
232	35.339717	-119.630833	3/17/18	JT_CA33
233	35.339717	-119.630833	3/17/18	JT_CA33
234	35.339717	-119.630833	3/17/18	JT_CA33
235	35.339717	-119.630833	3/17/18	JT_CA33
236	35.339717	-119.630833	3/17/18	JT_CA33
237	35.339717	-119.630833	3/17/18	JT_CA33
238	35.339717	-119.630833	3/17/18	JT_CA33
239	35.339717	-119.630833	3/17/18	JT_CA33
240	35.339717	-119.630833	3/17/18	JT_CA33
241	35.339717	-119.630833	3/17/18	JT_CA33
242	35.339717	-119.630833	3/17/18	JT_CA33
243	35.339717	-119.630833	3/17/18	JT_CA33
244	35.339717	-119.630833	4/19/18	JT_CA33
245	35.339717	-119.630833	4/19/18	JT_CA33
246	35.339717	-119.630833	4/19/18	JT_CA33
247	35.339717	-119.630833	4/19/18	JT_CA33
248	35.339717	-119.630833	4/19/18	JT_CA33
249	35.339717	-119.630833	4/19/18	JT_CA33
250	35.339717	-119.630833	4/19/18	JT_CA33
251	35.339717	-119.630833	4/19/18	JT_CA33
252	35.339717	-119.630833	4/19/18	JT_CA33
253	35.339717	-119.630833	4/19/18	JT_CA33
254	35.339717	-119.630833	4/19/18	JT_CA33
